project,site,year,Plot ID,pre_post_fire,postTime,Regen1_m,Regen1_spp,Regen2_m,Regen2_spp,SS1_m,SS1_spp,SS2_m,SS2_spp,SS3_m,SS3_spp,SS4_m,SS4_spp,SS5_m,SS5_spp
CPFMP,Independence,2020,Indy26,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy07,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy08,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy10,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy09,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy24,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy17,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy16,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy06,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy40,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy38,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy05,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy03,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy11,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy14,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy20,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy21,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy29,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy36,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy30,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy28,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy31,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy37,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy25,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy39,prefire,,11,ABMA,,,,,,,,,,,,
CPFMP,Independence,2020,Indy34,prefire,,11.6,ABMA,,,,,,,,,,,,
CPFMP,Independence,2020,Indy32,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy33,prefire,,13,ABMA,,,23.5,PIJE,,,,,,,,
CPFMP,Independence,2020,Indy23,prefire,,,,,,16.4,PIJE,,,,,,,,
CPFMP,Independence,2020,Indy18,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy22,prefire,,no ABMA tse found,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy27,prefire,,,,,,,ABMA,21.1,,,,,,,
CPFMP,Independence,2020,Indy35,prefire,,no PICO tse,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy01,prefire,,,,,,21.9,JUOC,,,,,,,,
CPFMP,Independence,2020,Indy12,prefire,,,,,,30.4,PIJE,,,,,,,,
CPFMP,Independence,2020,Indy13,prefire,,,,,,,,,,,,,,,
CPFMP,Independence,2020,Indy19,prefire,,,PIJE,,,35.3,,,,,,,,,
CPFMP,BearMountain,2019,BM1,prefire,,,,,,15.4,QUKE,,,,,,,,
CPFMP,BearMountain,2019,BM2,prefire,,,,,,41,QUKE,,,,,,,,
CPFMP,BearMountain,2019,BM3,prefire,,,,,,54.9,QUKE,,,,,,,,
CPFMP,BearMountain,2019,BM4,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM5,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM6,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM7,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM8,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM9,prefire,,,,,,15.8,PIPO,,,,,,,,
CPFMP,BearMountain,2019,BM10,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM11,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM12,prefire,,,,,,11.5,ABCO,19,CADE,51,QUKE,,,,
CPFMP,BearMountain,2019,BM13,prefire,,4.5,PIPO,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM14,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM15,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM16,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM17,prefire,,,,,,21,PIPO,,,,,,,,
CPFMP,BearMountain,2019,BM18,prefire,,,,,,14.1,PSME,37.5,PILA,,,,,,
CPFMP,BearMountain,2019,BM19,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM20,prefire,,,,,,29,QUKE,,,,,,,,
CPFMP,BearMountain,2019,BM21,prefire,,,,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM22,prefire,,15,PIPO,,,,,,,,,,,,
CPFMP,BearMountain,2019,BM23,prefire,,,,,,116,PIPO,,,,,,,,
CPFMP,BearMountain,2019,BM24,prefire,,,,,,,,,,,,,,,
