plot_id,burnunit,location,burn
BM1,BM4,bearmtn,yes
BM2,BM5,bearmtn,yes
BM3,BM5,bearmtn,yes
BM4,BM5,bearmtn,yes
BM5,BM5,bearmtn,yes
BM6,BM5,bearmtn,yes
BM7,BM5,bearmtn,yes
BM8,BM4,bearmtn,yes
BM9,BM4,bearmtn,yes
BM10,BM4,bearmtn,yes
BM11,BM4,bearmtn,yes
BM12,BM6,bearmtn,yes
BM13,BM6,bearmtn,yes
BM14,BM4,bearmtn,yes
BM15,BM6,bearmtn,yes
BM16,BM6,bearmtn,yes
BM17,BM6,bearmtn,yes
BM18,BM6,bearmtn,yes
BM19,BM6,bearmtn,yes
BM20,BM6,bearmtn,yes
BM21,BM6,bearmtn,yes
BM22,BM7,bearmtn,yes
BM23,BM7,bearmtn,yes
BM24,BM7,bearmtn,yes
BM25,BM7,bearmtn,yes
BM26,BM7,bearmtn,yes
BM27,BM7,bearmtn,yes
fm10-1,FM10,frenchmeadows,no
fm10-10,FM10,frenchmeadows,no
fm10-11,FM10,frenchmeadows,no
fm10-12,FM10,frenchmeadows,no
fm10-13,FM10,frenchmeadows,no
fm10-14,FM10,frenchmeadows,no
fm10-15,FM10,frenchmeadows,no
fm10-2,FM10,frenchmeadows,no
fm10-3,FM10,frenchmeadows,no
fm10-4,FM10,frenchmeadows,no
fm10-5,FM10,frenchmeadows,no
fm10-6,FM10,frenchmeadows,no
fm10-7,FM10,frenchmeadows,no
fm10-8,FM10,frenchmeadows,no
fm10-9,FM10,frenchmeadows,no
fm19-1,FM19a,frenchmeadows,no
fm19-2,FM19a,frenchmeadows,no
fm19-3,FM19a,frenchmeadows,no
fm19-4,FM19a,frenchmeadows,no
fm19-5,FM19a,frenchmeadows,no
fm19-6,FM19a,frenchmeadows,no
fm19-7,FM19a,frenchmeadows,no
fm19-8,FM19b,frenchmeadows,no
fm19-9,FM19a,frenchmeadows,no
fm19-10,FM19b,frenchmeadows,no
fm19-11,FM19b,frenchmeadows,no
fm19-12,FM19b,frenchmeadows,no
fm19-13,FM19b,frenchmeadows,no
fm19-14,FM19b,frenchmeadows,no
fm19-15,FM19c,frenchmeadows,no
fm19-16,FM19c,frenchmeadows,no
fm19-17,FM19c,frenchmeadows,no
fm19-18,FM19c,frenchmeadows,no
fm19-19,FM19c,frenchmeadows,no
fm19-20,FM19c,frenchmeadows,no
fm19-21,FM19c,frenchmeadows,no
burton1,BUa,lakesdistrict,no
