plot_id,status,species_id,stand_ba
burton1,live,abco,160
burton1,live,abma,20
burton2,live,abco,200
burton2,dead,abco,40
burton2,live,abma,40
burton2,dead,abma,80
burton3,live,abco,280
burton3,live,abma,120
burton4,live,pije,60
burton4,live,abco,80
burton5,live,abco,160
burton5,live,pije,120
burton6,live,abco,280
burton6,dead,abma,40
burton7,live,abco,100
burton7,dead,abco,40
burton7,live,abma,20
burton7,live,pije,20
burton8,live,abco,140
burton8,dead,abco,20
burton8,live,abma,40
burton9,live,abco,80
burton9,dead,abco,60
burton9,live,abma,20
burton10,live,abco,200
burton10,dead,abco,40
burton11,live,abco,120
burton11,dead,abco,80
burton11,live,abma,40
burton12,live,cade,10
burton12,live,pico,10
burton12,dead,abco,30
burton12,live,abco,50
burton12,live,pije,10
burton13,live,abco,160
burton13,live,pije,80
burton14,live,abco,120
burton14,dead,abco,20
burton14,live,pila,60
burton15,live,pije,25
burton15,live,abma,40
burton15,dead,abma,10
burton15,live,abco,45
burton15,live,pila,5
burton15,live,abco,5
burton16,live,abco,100
burton16,dead,abco,20
burton16,live,abma,20
burton16,live,pije,20
burton17,live,abco,200
burton17,dead,abco,120
burton18,live,abco,160
burton18,dead,abco,40
burton18,live,pije,120
burton19,live,abco,100
burton19,dead,abco,20
burton19,dead,abma,20
burton19,live,pije,20
burton20,live,abco,180
burton20,dead,abco,40
burton20,live,pije,20
burton21,live,abco,160
burton21,dead,abma,80
burton21,live,pije,80
burton22,live,abco,240
burton22,live,pije,80
burton23,live,abco,80
burton23,live,pico,20
burton23,live,pije,40
burton24,live,pije,40
burton24,live,abco,10
burton24,live,cade,30
bliss1,live,abco,200
bliss1,dead,abco,240
bliss2,live,abco,100
bliss2,dead,abco,80
bliss2,live,cade,40
bliss2,dead,cade,20
bliss2,live,pije,20
bliss3,live,abco,140
bliss3,dead,cade,20
bliss3,live,pije,20
bliss3,dead,abco,20
bliss3,dead,pije,20
bliss4,live,pila,60
bliss4,live,cade,20
bliss4,live,abco,40
bliss4,dead,abco,20
bliss5,live,pila,140
bliss5,live,abco,60
bliss5,dead,abco,40
bliss6,live,abco,20
bliss6,dead,abco,40
bliss6,dead,cade,20
bliss6,live,pila,40
bliss6,dead,pila,20
bliss7,live,pila,120
bliss7,live,pije,120
bliss7,live,abco,80
bliss7,dead,abco,40
bliss8,live,abco,100
bliss8,dead,abco,40
bliss8,live,pije,20
bliss9,live,abco,60
bliss9,dead,abco,20
bliss9,live,pila,40
bliss9,dead,pila,20
bliss10,live,abco,240
bliss10,dead,abco,40
bliss10,live,pila,40
bliss10,dead,pila,40
bliss11,live,abco,200
bliss11,dead,abco,40
bliss11,live,pije,40
bliss11,dead,pije,40
bliss11,live,pila,40
bliss12,live,cade,120
bliss12,live,pila,160
bliss13,live,abco,80
bliss13,dead,abco,20
bliss13,live,pila,40
bliss13,live,pila,20
bliss13,live,cade,20
bliss14,live,pije,60
bliss14,live,abco,80
bliss14,dead,abco,40
bliss14,live,pila,40
bliss15,live,abco,100
bliss15,live,pila,80
bliss15,live,pije,20
bliss15,dead,abco,40
