site,year,pre_post_fire,pre_post_thin,postTime,plotid,obs,species,status,lifeform,layer_code,percent,notes
DryCreek,2020,postfire,,2yr,DryCreek38,ag,anamar,live,FB,na,0.05,
DryCreek,2020,postfire,,2yr,DryCreek38,ag,ANTROS,live,FB,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,ARTCAN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope04,ag,ARTCAN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope08,km,ARTCAN,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope12,km,ARTCAN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope15,vs,ARTCAN,live,SH,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,ARTCAN,live,SH,na,0.5,
Antelope,2020,prefire,,,Antelope17,vs,ARTCAN,live,SH,na,1,
Antelope,2020,prefire,,,Antelope18,km,ARTCAN,live,SH,na,1.5,
Antelope,2020,prefire,,,Antelope19,vs,ARTCAN,live,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek32,"vs, mm",ARTCAN,live,SH,na,0.05,resp
Antelope,2020,prefire,,,Antelope01,ag,ARTR,live,SH,na,10,
Antelope,2020,prefire,,,Antelope01,ag,ARTR,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope02,ag,ARTR,live,SH,na,18,
Antelope,2020,prefire,,,Antelope02,ag,ARTR,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope03,vs,ARTR,live,SH,na,24,
Antelope,2020,prefire,,,Antelope03,vs,ARTR,dead,SH,na,3,
Antelope,2020,prefire,,,Antelope04,ag,ARTR,live,SH,na,10,
Antelope,2020,prefire,,,Antelope05,vs,ARTR,live,SH,na,11,
Antelope,2020,prefire,,,Antelope05,vs,ARTR,dead,SH,na,2,
Antelope,2020,prefire,,,Antelope06,km,ARTR,live,SH,na,5,
Antelope,2020,prefire,,,Antelope06,km,ARTR,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope07,vs,ARTR,live,SH,na,35,
Antelope,2020,prefire,,,Antelope07,vs,ARTR,dead,SH,na,5,
Antelope,2020,prefire,,,Antelope08,km,ARTR,live,SH,na,20,
Antelope,2020,prefire,,,Antelope08,km,ARTR,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope09,vs,ARTR,live,SH,na,11,
Antelope,2020,prefire,,,Antelope09,vs,ARTR,dead,SH,na,3,
Antelope,2020,prefire,,,Antelope10,ag,ARTR,live,SH,na,10,
Antelope,2020,prefire,,,Antelope10,ag,ARTR,dead,SH,na,0.05,resp
Antelope,2020,prefire,,,Antelope11,vs,ARTR,live,SH,na,5,
Antelope,2020,prefire,,,Antelope11,vs,ARTR,dead,SH,na,1,
Antelope,2020,prefire,,,Antelope12,km,ARTR,live,SH,na,7,
Antelope,2020,prefire,,,Antelope13,vs,ARTR,live,SH,na,15,
Antelope,2020,prefire,,,Antelope13,vs,ARTR,dead,SH,na,2,
Antelope,2020,prefire,,,Antelope14,km,ARTR,live,SH,na,15,
Antelope,2020,prefire,,,Antelope14,km,ARTR,dead,SH,na,0.5,
Antelope,2020,prefire,,,Antelope15,vs,ARTR,live,SH,na,4,
Antelope,2020,prefire,,,Antelope15,vs,ARTR,dead,SH,na,0.05,
Antelope,2020,prefire,,,Antelope16,km,ARTR,live,SH,na,32,
Antelope,2020,prefire,,,Antelope16,km,ARTR,dead,SH,na,1,
Antelope,2020,prefire,,,Antelope17,vs,ARTR,live,SH,na,11,
Antelope,2020,prefire,,,Antelope17,vs,ARTR,dead,SH,na,2,
Antelope,2020,prefire,,,Antelope18,km,ARTR,live,SH,na,23,
Antelope,2020,prefire,,,Antelope18,km,ARTR,dead,SH,na,2,
Antelope,2020,prefire,,,Antelope19,vs,ARTR,live,SH,na,15,
Antelope,2020,prefire,,,Antelope19,vs,ARTR,dead,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek21,ag,ARTR,live,SH,na,0.05,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",ARTR,live,SH,na,25,
DryCreek,2020,prefire,,,DryCreek24,"vs, mm",ARTR,dead,SH,na,2,
DryCreek,2020,prefire,,,DryCreek50,ag,ARTR,dead,SH,na,0.05,
