site,day,month,year,plot_id,ash,fire_severity,burn,baresoil,litter,litter_black,wood,cones,smrock,rock,ash,basalveg,moss,road,totground,history,notes
,,,,,%,,,,,,,,2-600mm,>600mm,,,,,,,
springsfire,8,24,2019,springs1,99.5,1,yes,0.25,tr,93.25,0.5,tr,tr,0,5,1,0,0,100,,
springsfire,8,24,2019,springs2,55,1,yes,14,10,40,0.5,tr,10,0,25,0.5,0,0,100,,
springsfire,8,24,2019,springs3,95,3,yes,3,1,69.5,0,,0.5,0,25,0.5,0,0,99.5,,
springsfire,8,24,2019,springs4,10,1,yes,35,30,7,tr,tr,25,0,3,tr,0,0,100,,
springsfire,8,24,2019,springs11,95,1,yes,4,0.5,89.5,1,tr,1,0,3,1,0,0,100,,
springsfire,8,24,2019,springs12,89,1,yes,5,5,85.5,tr,tr,1,0,3,0.5,0,0,100,,
springsfire,8,24,2019,springs13,25,1,yes,30,20,15,0.5,tr,24.5,0,10,tr,0,0,100,,
springsfire,8,24,2019,springs14,55,1,yes,20,15,53,tr,tr,9.5,0,2,0.5,0,0,100,,
springsfire,8,24,2019,springs15,60,1,yes,15,20,45,tr,tr,4.5,0,15,0.5,0,0,100,,
springsfire,8,24,2019,springs16,65,1,yes,15,15,40,tr,tr,14.5,0,15,0.5,0,0,100,,
springsfire,8,24,2019,springs17,45,1,yes,20,10,44,0.5,tr,24,tr,1,0.5,0,0,100,,
springsfire,8,24,2019,springs18,95,1,yes,0.5,3,88,tr,tr,0.5,0,7,1,0,0,100,,
springsfire,8,24,2019,springs19,65,1,yes,20,10,55,tr,tr,5,0,10,0.5,0,0,100.5,,
springsfire,8,24,2019,springs20,98,2,yes,1,0.5,80,tr,tr,0.5,0,18,0.5,0,0,100.5,,
springsfire,8,24,2019,springs21,100,3,yes,,tr,30,tr,tr,tr,0,69.5,0.5,0,0,100,,
springsfire,8,24,2019,springs22,99,1,yes,tr,tr,96.5,tr,tr,tr,0,1.5,2,0,0,100,,
springsfire,8,24,2019,springs23,52,1,yes,1.5,46,50,0,,0.5,0,2,0.5,0,0,100.5,,
springsfire,8,24,2019,springs24,99,2,yes,0.5,0.5,92.5,tr,0,tr,0,6,0.5,0,0,100,,
springsfire,8,24,2019,springs25,30,1,yes,45,7,10,tr,tr,18,0,20,tr,0,0,100,,
springsfire,8,23,2019,springs26,93,3,yes,2.5,1.5,,1,tr,tr,0,93,2,0,0,100,,
springsfire,8,23,2019,springs27,75,2,yes,4,25,,tr,tr,tr,0,70,1,0,0,100,,
springsfire,8,23,2019,springs28,94,2,yes,3,0.5,48,tr,tr,tr,0,47,1.5,0,0,100,,
springsfire,8,23,2019,springs29,30,1,yes,20,30,20,0.25,tr,19.25,0,10,0.5,0,0,100,,
springsfire,8,23,2019,springs30,98,2,yes,0.5,tr,72,tr,tr,tr,0,26,1.5,0,0,100,,
