site,year,plot_id,azimuth,slope,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,1hr,10hr,100hr,duff1,litter1,duff2,litter2,notes
,,,,%,m,m,m,m,count,count,count,cm,cm,cm,cm,
springsfire,2019,springs1,N,,2,2,4,11.3,2,1,0,0,0,1,1,
springsfire,2019,springs1,S,,2,2,4,11.3,0,3,0,0,tr,1,2,
springsfire,2019,springs1,E,,2,2,4,11.3,0,0,0,0,tr,1,tr,
springsfire,2019,springs1,W,,2,2,4,11.3,0,0,0,1,tr,tr,tr,
springsfire,2019,springs2,N,,2,2,4,11.3,2,3,5,1,3,1,2,
springsfire,2019,springs2,S,,2,2,4,11.3,2,0,0,0,tr,0,tr,
springsfire,2019,springs2,E,,2,2,4,11.3,13,2,0,0,0,0,1,
springsfire,2019,springs2,W,,2,2,4,11.3,1,1,0,tr,2,tr,2,
springsfire,2019,springs3,N,,2,2,4,11.3,0,2,0,0,tr,0,1,
springsfire,2019,springs3,S,,2,2,4,11.3,0,0,0,0,2,0,1,
springsfire,2019,springs3,E,,2,2,4,11.3,0,1,1,1,tr,4,1,
springsfire,2019,springs3,W,,2,2,4,11.3,1,0,0,0,tr,0,1,
springsfire,2019,springs4,N,,2,2,4,11.3,0,1,2,0,1,0,2,
springsfire,2019,springs4,S,,2,2,4,11.3,1,1,0,0,1,0,3,
springsfire,2019,springs4,E,,2,2,4,11.3,3,0,0,tr,2,1,3,
springsfire,2019,springs4,W,,2,2,4,11.3,1,2,1,0,tr,0,tr,
springsfire,2019,springs11,N,,2,2,4,11.3,0,1,1,tr,tr,1,1,
springsfire,2019,springs11,S,,2,2,4,11.3,0,0,0,0,2,0,1,
springsfire,2019,springs11,E,,2,2,4,11.3,0,6,1,0,tr,0,2,
springsfire,2019,springs11,W,,2,2,4,11.3,0,3,2,0,1,0,1,
springsfire,2019,springs12,N,,2,2,4,11.3,1,1,0,0,0,0,tr,
springsfire,2019,springs12,S,,2,2,4,11.3,0,3,1,0,tr,0,tr,
springsfire,2019,springs12,E,,2,2,4,11.3,0,3,0,0,tr,0,tr,
springsfire,2019,springs12,W,,2,2,4,11.3,1,1,3,0,tr,0,2,
springsfire,2019,springs13,N,,2,2,4,11.3,0,4,2,0,1,1,2,
springsfire,2019,springs13,S,,2,2,4,11.3,2,3,0,0,1,1,2,
springsfire,2019,springs13,E,,2,2,4,11.3,0,0,1,0,0,tr,4,
springsfire,2019,springs13,W,,2,2,4,11.3,0,0,1,0,0,tr,1.5,
springsfire,2019,springs14,N,,2,2,4,11.3,0,1,0,0,2,tr,1,
springsfire,2019,springs14,S,,2,2,4,11.3,0,1,0,0,tr,0,tr,
springsfire,2019,springs14,E,,2,2,4,11.3,0,3,4,0,5,0,tr,
springsfire,2019,springs14,W,,2,2,4,11.3,0,2,1,0,1,0,1.5,
springsfire,2019,springs15,N,,2,2,4,11.3,4,3,2,0,2,0,1,
springsfire,2019,springs15,S,,2,2,4,11.3,0,2,2,0,1,0,1,
springsfire,2019,springs15,E,,2,2,4,11.3,,,,,,,,
springsfire,2019,springs15,W,,2,2,4,11.3,15,3,1,0,tr,0,tr,
springsfire,2019,springs16,N,,2,2,4,11.3,3,7,1,0,6,0,3,
springsfire,2019,springs16,S,,2,2,4,11.3,2,5,2,0,1,0,1,
springsfire,2019,springs16,E,,2,2,4,11.3,0,0,0,0,tr,0,tr,
springsfire,2019,springs16,W,,2,2,4,11.3,1,0,0,0,tr,0,1,
springsfire,2019,springs17,N,,2,2,4,11.3,0,10,6,0,1,0,4,
springsfire,2019,springs17,S,,2,2,4,11.3,0,1,0,0,tr,0,tr,
